last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:11:10,N,AAPL,298.04,1.0,298.07,2.0,-3.0,0.0,2020-01-03 11:11:10.057346,298.01,298.04,0,2020-01-03
2020-01-03 11:11:15,Z,AAPL,298.01,2.0,298.04,1.0,0.0,0.0,2020-01-03 11:11:15.014516,297.98,298.02,0,2020-01-03
2020-01-03 11:11:20,Q,AAPL,297.98,3.0,298.02,1.0,2.0,-4.0,2020-01-03 11:11:20.001854,297.98,298.02,0,2020-01-03
2020-01-03 11:11:25,P,AAPL,297.98,9.0,298.02,1.0,0.0,0.0,2020-01-03 11:11:25.380220,297.97,298.0,0,2020-01-03
2020-01-03 11:11:30,Z,AAPL,297.97,5.0,298.0,1.0,0.0,0.0,2020-01-03 11:11:30.001274,297.99,298.02,0,2020-01-03
2020-01-03 11:11:35,Z,AAPL,297.99,2.0,298.02,2.0,0.0,1.0,2020-01-03 11:11:35.505330,297.96,297.99,0,2020-01-03
2020-01-03 11:11:40,N,AAPL,297.96,5.0,297.99,1.0,0.0,0.0,2020-01-03 11:11:40.607344,297.95,297.97,0,2020-01-03
2020-01-03 11:11:45,Q,AAPL,297.95,1.0,297.97,2.0,-4.0,0.0,2020-01-03 11:11:45.637191,298.0,298.02,1,2020-01-03
2020-01-03 11:11:50,N,AAPL,298.0,2.0,298.02,2.0,1.0,0.0,2020-01-03 11:11:50.048511,298.01,298.03,0,2020-01-03
2020-01-03 11:11:55,Z,AAPL,298.01,1.0,298.03,2.0,0.0,0.0,2020-01-03 11:11:55.502400,298.04,298.06,1,2020-01-03
2020-01-03 11:12:00,Q,AAPL,298.04,2.0,298.06,1.0,0.0,-1.0,2020-01-03 11:12:00.001124,298.1,298.13,1,2020-01-03
2020-01-03 11:12:05,Q,AAPL,298.1,3.0,298.13,2.0,0.0,1.0,2020-01-03 11:12:05.008447,298.1,298.13,0,2020-01-03
2020-01-03 11:12:10,Z,AAPL,298.1,2.0,298.13,1.0,0.0,0.0,2020-01-03 11:12:10.292751,298.21,298.23,1,2020-01-03
2020-01-03 11:12:15,Z,AAPL,298.21,1.0,298.23,2.0,0.0,1.0,2020-01-03 11:12:15.191621,298.22,298.24,0,2020-01-03
